id,transaction_date,quantity,project_id,project_name,project_short_code,supplier,pathway,pathway_full,retired_by,beneficiary,purposes,notes
ret_1KBAPHNME1S043BC,2025-11-30T15:36:49.129650+00:00,232.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1K8XSEZ721S0ED03,2025-10-31T18:46:15.040575+00:00,48.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Autodesk,Autodesk,CORPORATE_TARGETS,
ret_1K8XMN9P21S0PEPS,2025-10-31T17:22:19.496371+00:00,172.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,CORPORATE_TARGETS,
ret_1K8XG5DWS1S0D858,2025-10-31T16:03:45.279682+00:00,262.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1K8RGAN161S0ZV5H,2025-10-29T17:30:24.193094+00:00,10.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Harvard Management Company,Harvard Management Company,CORPORATE_TARGETS,
ret_1K8PA287B1S0YCCZ,2025-10-28T21:02:28.673026+00:00,50.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1K8P98CKJ1S0503D,2025-10-28T20:48:21.174548+00:00,10.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Paul Graham,Paul Graham,,
ret_1K8KDXSN11S0QHK2,2025-10-27T18:12:13.631787+00:00,20.0,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,Graphyte,BiCRS,Biomass Carbon Removal and Storage,Wren,New Mountain Capital ,PUBLIC_ENVIRONMENTAL_CLAIMS,New Mountain Capital 2024 emissions
ret_1K89A1B251S0KYNW,2025-10-23T19:51:51.178575+00:00,52.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Stripe,Terraset,OTHER,https://stripe.com/climate/orders
ret_1K7J6H7741S0W9FC,2025-10-14T20:28:05.247586+00:00,15.0,prj_1J7NQMR9V1S04P0D,Project Serra da Mantiqueira,EN4R,InPlanet,EW,Enhanced Weathering,Patch,Piva Capital,CORPORATE_TARGETS,
ret_1K6K4KBQD1S0X17J,2025-10-02T18:57:50.869117+00:00,1.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Patch,Patch,OTHER,Retired on behalf of Patch's customers and/ or their End Users
